# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
44, 371, , 60911
44, 688, , 61828
44, 512, , 61004
44, 320, , 4577
44, 274, , 62450
67577
44, 397, , 60966
44, 398, , 61058
44, 419, , 61292
44, 455, , 61233
44, 343, , 61007
44, 293, , 69327
44, 324, , 60861
44, 263, , 60860
44, 490, , 61135
45, 312, , 9747
45, 269, , 62604
45, 329, 60658, 96901
45, 270, , 4516
45, 273, , 62905
45, 512, , 61130
45, 260, , 3071
45, 997, , 60997
45, 501, , 61087
45, 278, , 5486
45, 343, , 60996
45, 586, , 61049
45, 480, , 61160
45, 277, , 7627
45, 278, , 5564
45, 353, , 60961
45, 260, , 7047
45, 512, , 61348
45, 279, , 8922
45, 262, , 3428
46, 512, , 61141
46, 347, , 60891
100195
46, 276, , 69099
46, 291, , 60880
46, 261, , 63849
46, 297, , 66470
46, 289, , 10165
46, 429, , 67255
46, 360, , 61125
46, 344, , 60984
46, 349, , 60992
46, 261, , 3442
46, 341, , 61011
46, 448, , 61135
115627
46, 512, , 61003
46, 384, , 61094
46, 273, , 63224
46, 431, , 61094
46, 300, , 60923
46, 295, , 60841
47, 469, , 61093
47, 385, , 60978
47, 387, , 61234
47, 272, , 2379
47, 512, , 64258
47, 876, , 61234
47, 512, , 61617
47, 310, , 10890
47, 302, , 60924
47, 915, , 61126
47, 640, , 61202
47, 512, , 61198
47, 438, , 61054
47, 512, , 61204
47, 292, , 60909
47, 259, , 5494
47, 266, , 67776
47, 512, , 64290
47, 490, , 61120
47, 566, , 61026
48, 440, , 61097
48, 521, , 64146
48, 270, , 63410
48, 432, , 61073
48, 265, , 63949
48, 274, , 2471
48, 296, , 5745
48, 325, , 60996
48, 715, , 64721
48, 354, , 61057
48, 259, , 64100
48, 1371, , 61042
48, 525, , 61073
48, 299, , 60899
48, 293, , 70261
48, 345, , 60962
48, 319, , 60924
48, 512, , 61003
48, 592, , 61420
48, 512, , 61132
49, 333, , 60963
96365
49, 604, , 70315
49, 502, , 61060
49, 257, , 60883
49, 280, , 8082
49, 278, , 62444
49, 262, , 68541
49, 902, , 61677
49, 408, , 64102
49, 381, , 61076
49, 805, , 61055
49, 512, , 61106
49, 278, , 2382
49, 331, , 61083
49, 260, , 60838
49, 264, , 63996
49, 436, , 61054
49, 1003, , 61054
49, 262, , 3520
49, 408, , 64149
50, 512, , 61450
50, 450, , 61002
50, 674, , 67461
50, 465, , 61059
50, 294, , 4536
50, 512, , 61152
50, 306, , 4538
50, 427, , 60996
50, 274, , 4450
50, 297, , 6809
