# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
48, 418, , 67407
48, 809, , 67737
48, 304, , 70090
48, 545, , 67249
48, 512, , 67120
48, 262, , 63988
48, 1135, , 67195
49, 259, , 62247
49, 261, , 66200
49, 290, , 60852
49, 1338, , 70652
49, 296, , 64083
49, 368, , 60941
49, 289, , 9305
49, 602, , 67150
49, 411, , 67092
49, 273, , 48374
49, 288, , 3511
49, 262, , 66972
49, 299, , 8272
49, 408, , 67151
49, 259, , 2365
49, 477, , 67481
49, 258, , 60800
49, 388, , 67128
49, 375, , 70161
49, 692, , 61533
50, 386, , 67125
50, 294, , 63558
50, 1499, , 67210
50, 905, , 67212
50, 779, , 67169
50, 292, , 68280
50, 555, , 64084
50, 419, , 67461
50, 364, , 13371
50, 350, , 11675
50, 258, , 5292
50, 443, , 67523
50, 257, , 2348
50, 290, , 63294
50, 492, , 64076
50, 486, , 64067
50, 495, , 67137
50, 419, , 67144
50, 1165, , 67219
50, 327, , 64298
51, 440, , 64505
51, 296, , 10465
51, 676, , 64685
51, 636, , 64764
51, 258, , 59914
51, 288, , 64094
51, 599, , 67542
51, 481, , 67128
51, 764, , 61032
51, 355, , 64322
51, 283, , 64108
51, 309, , 66999
51, 414, , 67266
51, 260, , 66224
51, 377, , 64056
51, 392, , 63967
51, 1114, , 67242
51, 650, , 67151
51, 287, , 65083
51, 404, , 67368
52, 260, , 4540
52, 355, , 64018
52, 512, , 70639
52, 1484, , 70268
52, 360, , 64334
52, 1352, , 67211
52, 308, , 5536
52, 434, , 67130
52, 498, , 67593
52, 353, , 67112
52, 403, , 67384
52, 1365, , 67239
52, 388, , 60982
52, 259, , 2355
52, 396, , 64336
52, 347, , 64356
52, 271, , 75071
52, 1139, , 67216
52, 512, , 67345
52, 1395, , 67214
53, 373, , 67126
53, 512, , 61006
102191
53, 430, , 64509
53, 765, , 64836
53, 263, , 5678
53, 377, , 11670
53, 327, , 70166
53, 273, , 10093
53, 504, , 67129
53, 336, , 67063
53, 437, , 61340
127060
53, 258, , 4006
53, 356, , 64357
53, 420, , 64497
53, 402, , 67463
53, 291, , 73087
53, 281, , 5512
53, 639, , 67166
53, 440, , 67111
53, 357, , 70417
54, 310, , 6561
54, 409, , 64075
54, 260, , 8769
54, 259, , 9558
54, 1288, , 64139
54, 684, , 67801
54, 1262, , 64155
54, 348, , 64049
54, 1172, , 67168
54, 555, , 67725
54, 384, , 64065
54, 302, , 6563
54, 314, , 11739
54, 1203, , 70269
54, 263, , 63908
54, 637, , 67653
54, 396, , 67128
54, 545, , 64559
54, 512, , 64099
54, 442, , 60981
55, 515, , 67167
55, 525, , 64295
55, 700, , 67175
55, 259, , 69930
55, 371, , 64201
55, 305, , 63960
55, 426, , 61271
95372
55, 881, , 70560
55, 492, , 67531
55, 512, , 67572
55, 356, , 67105
55, 693, , 64141
55, 288, , 3426
55, 424, , 70607
55, 384, , 64066
