GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
engine,org.jetbrains.java.decompiler.modules.decompiler,LabelHelper,298,981,66,165,54,227,49,85,1,14
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.SwitchOnStringCandidate.JavacSwitchCandidate.NewSelector,9,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,PPandMMHelper,58,204,21,25,13,54,15,12,0,4
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper,159,15,42,2,36,4,26,1,4,1
engine,org.jetbrains.java.decompiler.modules.decompiler,SimplifyExprentsHelper,1281,600,292,116,258,148,174,50,1,19
engine,org.jetbrains.java.decompiler.modules.decompiler,PatternHelper,1476,4,271,1,309,1,162,1,26,1
engine,org.jetbrains.java.decompiler.modules.decompiler,PrimitiveExpressionList,0,30,0,0,0,9,0,5,0,5
engine,org.jetbrains.java.decompiler.modules.decompiler,IfHelper.IfNode,0,28,0,0,0,8,0,2,0,2
engine,org.jetbrains.java.decompiler.modules.decompiler,FinallyProcessor.new Object() {...},18,0,0,0,5,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,FinallyProcessor.Record,9,0,0,0,4,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,FinallyProcessor.Area,12,0,0,0,5,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper.SwitchOnStringCandidate.JavacSwitchCandidate,231,0,28,0,50,0,19,0,5,0
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge.EdgeDirection,0,15,0,0,0,3,0,1,0,1
engine,org.jetbrains.java.decompiler.modules.decompiler,ExprProcessor,1682,1436,286,97,281,223,200,52,20,22
engine,org.jetbrains.java.decompiler.modules.decompiler,StrongConnectivityHelper,11,300,4,24,2,60,3,17,0,6
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchPatternHelper.JavacReferenceFinder.Root,12,0,0,0,1,0,1,0,1,0
engine,org.jetbrains.java.decompiler.modules.decompiler,SwitchHelper,903,99,187,11,196,20,119,7,22,5
engine,org.jetbrains.java.decompiler.modules.decompiler,StatEdge,65,48,2,0,15,19,5,8,4,8
engine,org.jetbrains.java.decompiler.modules.decompiler,SecondaryFunctionsHelper,816,377,153,46,144,74,90,20,1,4
engine,org.jetbrains.java.decompiler.util,InterpreterUtil,95,65,14,4,22,15,14,6,6,5
engine,org.jetbrains.java.decompiler.util,SFormsFastMapDirect.new Map.Entry() {...},2,27,0,0,1,5,1,3,1,3
engine,org.jetbrains.java.decompiler.util,FastFixedSetFactory.FastFixedSetIterator,37,114,4,12,6,32,4,9,1,4
engine,org.jetbrains.java.decompiler.util,FastFixedSetFactory,0,71,0,4,0,17,0,6,0,4
engine,org.jetbrains.java.decompiler.util,FastSparseSetFactory.FastSparseSet,233,377,45,37,49,82,39,24,5,17
engine,org.jetbrains.java.decompiler.util,TextUtil,147,1031,37,1,26,3,28,2,9,2
engine,org.jetbrains.java.decompiler.util,FastSparseSetFactory.FastSparseSetIterator,28,129,4,14,5,33,5,9,1,4
engine,org.jetbrains.java.decompiler.util,FastSparseSetFactory,45,72,4,4,7,19,3,6,1,4
